session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"18000197D99717B2","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-26 09:58:49.839","2025-08-26 10:01:14.632","2.41","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D99717B2-260825095849-AITS25A1NB0140-Supakit.U"
"18000197D99717F5","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-27 01:39:42.211","2025-08-27 02:19:32.905","39.84","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D99717F5-270825013942-AITS25A1NB0140-Supakit.U"
"18000197D9971815","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-27 03:21:42.808","2025-08-27 03:44:58.154","23.26","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971815-270825032142-AITS25A1NB0140-Supakit.U"
"18000197D9971871","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-27 08:55:30.187","2025-08-27 10:33:58.339","98.47","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971871-270825085530-AITS25A1NB0140-Supakit.U"
"480001980D1A8F9A","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-28 01:13:57.287","2025-08-28 05:08:06.980","234.16","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A8F9A-280825011357-AITS25A1NB0140-Supakit.U"
"480001980D1A9010","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-28 06:01:27.621","2025-08-28 06:10:30.424","9.05","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9010-280825060127-AITS25A1NB0140-Supakit.U"
"480001980D1A9015","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-28 06:20:33.893","2025-08-28 09:49:54.226","209.34","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9015-280825062033-AITS25A1NB0140-Supakit.U"
"18000197D9971934","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-28 10:02:32.091","2025-08-28 10:11:12.481","8.67","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971934-280825100232-AITS25A1NB0140-Supakit.U"
"18000197D9971979","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-29 01:08:37.158","2025-08-29 02:35:39.107","87.03","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971979-290825010837-AITS25A1NB0140-Supakit.U"
"480001980D1A9101","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-29 04:32:02.446","2025-08-29 05:06:20.745","34.3","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9101-290825043202-AITS25A1NB0140-Supakit.U"
"480001980D1A9110","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-08-29 06:02:54.461","2025-08-29 06:27:40.883","24.77","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9110-290825060254-AITS25A1NB0140-Supakit.U"
"28000197D99728F2","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-01 06:43:23.399","2025-09-01 06:44:09.147","0.76","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D99728F2-010925064323-AITS25A1NB0140-Supakit.U"
"480001980D1A93BE","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-02 02:12:26.308","2025-09-02 02:14:05.742","1.66","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A93BE-020925021226-AITS25A1NB0140-Supakit.U"
"480001980D1A942C","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-02 08:29:33.052","2025-09-02 08:35:23.724","5.84","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A942C-020925082933-AITS25A1NB0160-Tossapon.C"
"18000197D9971BD9","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-02 08:35:25.776","2025-09-02 08:40:30.336","5.08","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971BD9-020925083525-AITS25A1NB0160-Tossapon.C"
"480001980D1A9431","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-02 08:40:32.363","2025-09-02 08:42:46.523","2.24","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9431-020925084032-AITS25A1NB0160-Tossapon.C"
"28000197D99729B1","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-02 08:47:29.339","2025-09-02 08:47:49.409","0.33","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D99729B1-020925084729-AITS25A1NB0140-Supakit.U"
"18000197D9971BDD","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-02 08:47:54.459","2025-09-02 09:20:40.188","32.76","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971BDD-020925084754-AITS25A1NB0140-Supakit.U"
"28000197D99729BA","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-02 09:20:52.054","2025-09-02 09:49:03.045","28.18","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D99729BA-020925092052-AITS25A1NB0140-Supakit.U"
"28000197D99729C3","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-02 10:26:47.439","2025-09-02 10:27:55.429","1.13","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D99729C3-020925102647-AITS25A1NB0160-Tossapon.C"
"18000197D9971BF1","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-02 10:29:00.345","2025-09-02 10:34:18.632","5.3","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971BF1-020925102900-AITS25A1NB0160-Tossapon.C"
"480001980D1A9482","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-03 01:16:07.130","2025-09-03 05:10:16.390","234.15","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9482-030925011607-AITS25A1NB0140-Supakit.U"
"480001980D1A94E6","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-03 06:02:23.016","2025-09-03 06:38:34.885","36.2","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A94E6-030925060223-AITS25A1NB0140-Supakit.U"
"18000197D9971CDF","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-04 01:18:31.386","2025-09-04 05:12:42.866","234.19","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971CDF-040925011831-AITS25A1NB0140-Supakit.U"
"18000197D9971D1A","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-04 06:00:59.680","2025-09-04 06:48:40.458","47.68","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971D1A-040925060059-AITS25A1NB0140-Supakit.U"
"480001980D1A95C5","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-04 06:02:38.565","2025-09-04 10:37:17.790","274.65","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A95C5-040925060238-AITS25A1NB0140-Supakit.U"
"18000197D9971D6E","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-05 01:05:47.610","2025-09-05 09:51:42.572","525.92","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971D6E-050925010547-AITS25A1NB0140-Supakit.U"
"18000197D9971EE8","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 01:39:19.646","2025-09-08 04:46:40.266","187.34","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971EE8-080925013919-AITS25A1NB0140-Supakit.U"
"480001980D1A987A","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 04:46:44.148","2025-09-08 04:47:37.697","0.89","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A987A-080925044644-AITS25A1NB0140-Supakit.U"
