session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"18000197D9970512","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-25 06:00:26.231","2025-07-25 06:16:00.605","15.57","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D9970512-250725060026-AITS25A1NB0260-thirada.s"
"480001980D1A749A","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-25 06:41:19.028","2025-07-25 07:00:01.815","18.71","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A749A-250725064119-AITS25A1NB0210-yamonporn.t"
"480001980D1A74D6","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-25 07:57:49.796","2025-07-25 08:00:08.826","2.32","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A74D6-250725075749-AHT19ITNB0030-pathamalee.r"
"480001980D1A7491","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-25 06:16:02.492","2025-07-25 09:20:13.319","184.18","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-480001980D1A7491-250725061602-AITS25A1NB0260-thirada.s"
"480001980D1A74B2","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-25 07:08:00.912","2025-07-25 10:01:47.418","173.78","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A74B2-250725070800-AITS25A1NB0210-yamonporn.t"
"28000197D99711F4","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-25 09:13:33.872","2025-07-25 10:04:31.332","50.96","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D99711F4-250725091333-AITS25A1NB0260-thirada.s"
"28000197D99711E4","CAC-MCE","wuthinan.j","AHT19ITNB0040","Grant","2025-07-25 07:57:58.063","2025-07-25 11:18:47.792","200.83","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99711E4-250725075758-AHT19ITNB0040-wuthinan.j"
"28000197D9971350","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-29 01:23:52.744","2025-07-29 02:05:14.285","41.36","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9971350-290725012352-AHT19ITNB0030-pathamalee.r"
"28000197D997137F","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-29 03:32:26.765","2025-07-29 03:50:05.767","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D997137F-290725033226-AHT19ITNB0030-pathamalee.r"
"18000197D997068D","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-29 06:26:53.038","2025-07-29 06:27:06.828","0.23","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D997068D-290725062653-AITS25A1NB0260-thirada.s"
